UQFN48,WLCSP49,LQFP64,LQFP100,UFBGA100,LQFP144,Name,Type,IO,Alternate,Additional
0,0,0,1,B2,1,PE2,I/O,FT,TRACECLK/EVENTOUT,
0,0,0,2,A1,2,PE3,I/O,FT,TRACED0/EVENTOUT,
0,0,0,3,B1,3,PE4,I/O,FT,TRACED1/EVENTOUT,
0,0,0,4,C2,4,PE5,I/O,FT,TIM9_CH1/TRACED2/EVENTOUT,
0,0,0,5,D2,5,PE6,I/O,FT,TIM9_CH2/TRACED3/EVENTOUT,
0,0,0,0,D3,0,VSS,S,,,
0,0,0,0,C4,0,VDD,S, ,,
1,B7,1,6,E2,6,VBAT,S, ,,
2,D5,2,7,C1,7,PC13-ANTI_TAMP,I/O,FT,EVENTOUT,RTC_TAMP1/RTC_OUT/RTC_TS
3,C7,3,8,D1,8,PC14-OSC32_IN(PC14),I/O,FT,EVENTOUT,OSC32_IN
4,0,4,9,E1,9,PC15-OSC32_OUT(PC15),I/O,FT,EVENTOUT,OSC32_OUT
0,0,0,10,F2,0,VSS,S,,,
0,0,0,11,G2,0,VDD,S,,,
5,D7,5,12,F1,23,PH0-OSC_IN(PH0),I/O,FT,EVENTOUT,OSC_IN
6,D6,6,13,G1,24,PH1-OSC_OUT(PH1),I/O,FT,EVENTOUT,OSC_OUT
7,E7,7,14,H2,25,NRST,I/O,RST,EVENTOUT,
0,0,8,15,H1,26,PC0,I/O,FT,EVENTOUT,ADC1_IN10
0,0,9,16,J2,27,PC1,I/O,FT,EVENTOUT,ADC1_IN11
0,0,10,17,J3,28,PC2,I/O,FT,SPI2_MISO/I2S2ext_SD/EVENTOUT,ADC1_IN12
0,0,11,18,K2,29,PC3,I/O,FT,SPI2_MOSI/I2S2_SD/EVENTOUT,ADC1_IN13
0,0,0,19,0,0,VDD,S,,,
8,E6,12,20,0,0,VSSA-VREF-,S,,,
0,0,0,0,J11,0,VSSA,S,,,
0,0,0,0,K1,0,VREF-,S,,,
9,0,13,0,0,0,VDDA-VREF+,S,,,
0,0,0,21,L1,0,VREF+,S,,,
0,F7,0,22,M1,0,VDDA,S,,,
10,F6,14,23,L2,34,PA0-WKUP(PA0),I/O,FT,USART2_CTS/TIM2_CH1/TIM2_ETR/TIM5_CH1/EVENTOUT,ADC1_IN0/WKUP
11,G7,15,24,M2,35,PA1,I/O,FT,USART2_RTS/TIM2_CH2/TIM5_CH2/EVENTOUT,ADC1_IN1
12,E5,16,25,K3,36,PA2,I/O,FT,USART2_TX/TIM5_CH3/TIM9_CH1/TIM2_CH3/EVENTOUT,ADC1_IN2
13,E4,17,26,L3,37,PA3,I/O,FT,USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/EVENTOUT,ADC1_IN3
0,0,18,27,0,38,VSS,S,,,
0,0,19,28,0,39,VDD,S,,,
0,0,0,0,E3,0,BYPASS_REG,I,FT,,
14,G6,20,29,M3,40,PA4,I/O,FT,SPI1_NSS/SPI3_NSS/USART2_CK/I2S3_WS/EVENTOUT,ADC1_IN4
15,F5,21,30,K4,41,PA5,I/O,FT,SPI1_SCK/TIM2_CH1/TIM2_ETR/EVENTOUT,ADC1_IN5
16,F4,22,31,L4,42,PA6,I/O,FT,SPI1_MISO/TIM3_CH1/TIM1_BKIN/EVENTOUT,ADC1_IN6
17,F3,23,32,M4,43,PA7,I/O,FT,SPI1_MOSI/TIM3_CH2/TIM1_CH1N/EVENTOUT,ADC1_IN7
0,0,24,33,K5,44,PC4,I/O,FT,EVENTOUT,ADC1_IN14
