,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15
PA0,-,TIM2_CH1/TIM2_ETR,TIM5_CH1,-,-,-,-,USART2_CTS,-,-,-,-,-,-,-,EVENT OUT
PA1,-,TIM2_CH2,TIM5_CH2,-,-,-,-,USART2_RTS,-,-,-,-,-,-,-,EVENT OUT
PA2,-,TIM2_CH3,TIM5_CH3,TIM9_CH1,-,-,-,USART2_TX,-,-,-,-,-,-,-,EVENT OUT
PA3,-,TIM2_CH4,TIM5_CH4,TIM9_CH2,-,-,-,USART2_RX,-,-,-,-,-,-,-,EVENT OUT
PA4,-,-,-,-,-,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,-,-,-,-,-,-,-,EVENT OUT
PA5,-,TIM2_CH1/TIM2_ETR,-,-,-,SPI1_SCK,-,-,-,-,-,-,-,-,-,EVENT OUT
PA6,-,TIM1_BKIN,TIM3_CH1,-,-,SPI1_MISO,-,-,-,-,-,-,-,-,-,EVENT OUT
PA7,-,TIM1_CH1N,TIM3_CH2,-,-,SPI1_MOSI,-,-,-,-,-,-,-,-,-,EVENT OUT
PA8,MCO_1,TIM1_CH1,-,-,I2C3_SCL,-,-,USART1_CK,-,-,OTG_FS_SOF,-,-,-,-,EVENT OUT
PA9,-,TIM1_CH2,-,-,I2C3_SMBA,-,-,USART1_TX,-,-,OTG_FS_VBUS,-,-,-,-,EVENT OUT
PA10,-,TIM1_CH3,-,-,-,-,-,USART1_RX,-,-,OTG_FS_ID,-,-,-,-,EVENT OUT
PA11,-,TIM1_CH4,-,-,-,-,-,USART1_CTS,USART6_TX,-,OTG_FS_DM,-,-,-,-,EVENT OUT
PA12,-,TIM1_ETR,-,-,-,-,-,USART1_RTS,USART6_RX,-,OTG_FS_DP,-,-,-,-,EVENT OUT
PA13,JTMS_SWDIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PA14,JTCK_SWCLK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PA15,JTDI,TIM2_CH1/TIM2_ETR,-,-,-,SPI1_NSS,SPI3_NSS/I2S3_WS,-,-,-,-,-,-,-,-,EVENT OUT
PB0,-,TIM1_CH2N,TIM3_CH3,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PB1,-,TIM1_CH3N,TIM3_CH4,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PB2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PB3,JTDO-SWO,TIM2_CH2,-,-,-,SPI1_SCK,SPI3_SCK/I2S3_CK,-,-,I2C2_SDA,-,-,-,-,-,EVENT OUT
PB4,JTRST,-,TIM3_CH1,-,-,SPI1_MISO,SPI3_MISO,I2S3ext_SD,-,I2C3_SDA,-,-,-,-,-,EVENT OUT
PB5,-,-,TIM3_CH2,-,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,-,-,-,-,-,-,-,-,EVENT OUT
PB6,-,-,TIM4_CH1,-,I2C1_SCL,-,-,USART1_TX,-,-,-,-,-,-,-,EVENT OUT
PB7,-,-,TIM4_CH2,-,I2C1_SDA,-,-,USART1_RX,-,-,-,-,-,-,-,EVENT OUT
PB8,-,-,TIM4_CH3,TIM10_CH1,I2C1_SCL,-,-,-,-,-,-,-,SDIO_D4,-,-,EVENT OUT
PB9,-,-,TIM4_CH4,TIM11_CH1,I2C1_SDA,SPI2_NSS/I2S2_WS,-,-,-,-,-,-,SDIO_D5,-,-,EVENT OUT
PB10,-,TIM2_CH3,-,-,I2C2_SCL,SPI2_SCK/I2S2_CK,-,-,-,-,-,-,-,-,-,EVENT OUT
PB12,-,TIM1_BKIN,-,-,I2C2_SMBA,SPI2_NSS/I2S2_WS,-,-,-,-,-,-,-,-,-,EVENT OUT
PB13,-,TIM1_CH1N,-,-,-,SPI2_SCK/I2S2_CK,-,-,-,-,-,-,-,-,-,EVENT OUT
PB14,-,TIM1_CH2N,-,-,-,SPI2_MISO,I2S2ext_SD,-,-,-,-,-,-,-,-,EVENT OUT
PB15,RTC_REFIN,TIM1_CH3N,-,-,-,SPI2_MOSI/I2S2_SD,-,-,-,-,-,-,-,-,-,EVENT OUT
PC0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC2,-,-,-,-,-,SPI2_MISO,I2S2ext_SD,-,-,-,-,-,-,-,-,EVENT OUT
PC3,-,-,-,-,-,SPI2_MOSI/I2S2_SD,-,-,-,-,-,-,-,-,-,EVENT OUT
PC4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC6,-,-,TIM3_CH1,-,-,I2S2_MCK,-,-,USART6_TX,-,-,-,SDIO_D6,-,-,EVENT OUT
PC7,-,-,TIM3_CH2,-,-,-,I2S3_MCK,-,USART6_RX,-,-,-,SDIO_D7,-,-,EVENT OUT
PC8,-,-,TIM3_CH3,-,-,-,-,-,USART6_CK,-,-,-,SDIO_D0,-,-,EVENT OUT
PC9,MCO_2,-,TIM3_CH4,-,I2C3_SDA,I2S_CKIN,-,-,-,-,-,-,SDIO_D1,-,-,EVENT OUT
PC10,-,-,-,-,-,-,SPI3_SCK/I2S3_CK,-,-,-,-,-,SDIO_D2,-,-,EVENT OUT
PC11,-,-,-,-,-,I2S3ext_SD,SPI3_MISO,-,-,-,-,-,SDIO_D3,-,-,EVENT OUT
PC12,-,-,-,-,-,-,SPI3_MOSI/I2S3_SD,-,-,-,-,-,SDIO_CK,-,-,EVENT OUT
PC13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PD0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PD1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PD2,-,-,TIM3_ETR,-,-,-,-,-,-,-,-,-,SDIO_CMD,-,-,EVENT OUT
PD3,-,-,-,-,-,SPI2_SCK/I2S2_CK,-,USART2_CTS,-,-,-,-,-,-,-,EVENT OUT
PD4,-,-,-,-,-,-,-,USART2_RTS,-,-,-,-,-,-,-,EVENT OUT
PD5,-,-,-,-,-,-,-,USART2_TX,-,-,-,-,-,-,-,EVENT OUT
PD6,-,-,-,-,-,SPI3_MOSI/I2S3_SD,-,USART2_RX,-,-,-,-,-,-,-,EVENT OUT
PD7,-,-,-,-,-,-,-,USART2_CK,-,-,-,-,-,-,-,EVENT OUT
PD8,-,-,-,-,-,-,-,USART3_TX,-,-,-,-,-,-,-,EVENT OUT
PD9,-,-,-,-,-,-,-,USART3_RX,-,-,-,-,-,-,-,EVENT OUT
PD10,-,-,-,-,-,-,-,USART3_CK,-,-,-,-,-,-,-,EVENT OUT
PD11,-,-,-,-,-,-,-,USART3_CTS,-,-,-,-,-,-,-,EVENT OUT
PD12,-,-,TIM4_CH1,-,-,-,-,USART3_RTS,-,-,-,-,-,-,-,EVENT OUT
PD13,-,-,TIM4_CH2,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PD14,-,-,TIM4_CH3,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PD15,-,-,TIM4_CH4,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE0,-,-,TIM4_ETR,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE1,-,TIM1_CH2N,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE2,TRACECLK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE3,TRACED0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE4,TRACED1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE5,TRACED2,-,-,TIM9_CH1,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE6,TRACED3,-,-,TIM9_CH2,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE7,-,TIM1_ETR,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE8,-,TIM1_CH1N,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE9,-,TIM1_CH1,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE10,-,TIM1_CH2N,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE11,-,TIM1_CH2,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE12,-,TIM1_CH3N,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE13,-,TIM1_CH3,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE14,-,TIM1_CH4,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PE15,-,TIM1_BKIN,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PH0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PH1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
